Natural_language_description,Code1,Code2
cat command appears adding extra character end line,"#!/bin/sh
cat $0 |wc
cat $0 | tr -d '\r\n\t' | wc
cat $0 | tr -d '[:cntrl:]' |wc
",None
bash script incorporates content file part command,"convert -background lightblue -fill blue -font Helvetica -size 160x  label:""$(<input.txt)"" output.gif
",None
cat foo results output txt preserve ordering foo,echo ~/foo*,None
convert interrogation mark character accented letters,"iconv -f ISO-8859-1 -t UTF-8 infile.txt > outfile.txt
",None
count number words sentences file using shell command,awk '{print NF}' filename,"while read -r line; do echo $line | wc -w; done < filename.txt
"
cat file options,"#!/bin/bash
if test -f ""/etc/auto.def""; then cat /etc/auto.def;
elif test -f ""/etc/auto.ghi""; then cat /etc/auto.ghi;
elif test -f ""/etc/auto.abc""; then cat /etc/auto.abc;fi
",None
bash shell loop directory listing contents executability,"my=($(ls -la $dr |awk {'print $9'}))  
echo ${my[@]}  
for i in ""${my[@]}""  
do  
    if [[ -x ""$i"" ]]  
    then  
        echo ""File '$i' is executable""  
    else  
        echo ""File '$i' is not executable or found""  
    fi  
done                   
","read input
for f in ${input}/*; do
    echo -n ""$f is ""
    type=""""
    if [[ -x ""$f"" ]]; then
        type=""executable""
    else
        type=""non-executable""
    fi
    if [[ -d ""$f"" ]]; then
        type=""$type directory""
    fi
    echo ""$type""
done
"
find files echo content shell,"find -name '.htaccess' -type f -exec cat {} +
",None
cat file end work,"cat file > file << ""END""",None
base decode overwrite file,"perl -MMIME::Base64 -i -0777ne 'print decode_base64($_)' ~/dog/1.jpg
",None
cat dev ttyusb new file daily,"timeout 86400 cat ... > ...
","... | ...rotatelogs -l /home/pi/usb0_%Y%m%d 86400
"
append lines beginning files directory,"sed -i ""1i\\
First line\\
$(date)"" *
",None
multiple files header merge one header,"for file in ???.csv; do
   cat header.csv ""$file"" > ""joined-$file""
done
","cat header.csv x{a..b}{a..z}.csv xc{a..f}.csv > merged-file
"
concatenate two files foo foo also insert text foo foo terminal,"cat foo1 - foo2 > foo3
","echo 'Some text in between' | cat foo1 - foo2 > foo3
"
pipe data tcp socket connection terminal,"exec 3<>/dev/tcp/localhost/9091
echo ""{\""some\"":\""json-data\""}"" >&3
cat <&3
",None
quick way count lines tb file,wc -l,None
change mode file centos,"chmod u=rw,go= ~/.ssh/authorized_keys
",None
pipeline processing using cat,"cat input.dict | ./A_process.py _ | ./B_process.py _ > output.dict
",None
simplest method count lines matching specific patterns including line found,"grep -f patterns.in logfile.txt patterns.in | cut -f2 -d':' | sort | uniq -c | awk '{print($1 - 1"" ""$2)}'
",None
wrap string around large gzip file,"(gzip <<<""<root>""; cat input.xml.gz; gzip <<<""</root>"") > newfile.gz
",None
ambiguous redirect error bash,"tee {a,b,c}/old.txt  < new.txt > /dev/null
",None
convert ncurses binary dump text,less -fr,None
print contents instead file name using linux find command,"find . -type f -name 'cbs_cdr_vou_20180615*.unl' -exec cat {} + >/home/fifa/cbs/test.txt
",None
sort uniq commands running expected run though cron,uniq -i,None
diff outputs binary files file file differ usual detail output,"strings /proc/{1,279,295}/environ >> currenv
env > orienv
diff -u orienv currenv
",None
echo content series new file generated cat,"for i in `seq 1 22`
  do cat <<- EOF > loc_chr${i}.r
""a <- read.delim(""file${i}.txt"", header=T, check.names=FALSE);
    library(""splitstackshape"");
    loc1 <- cSplit(a, ""V1"", "":"");
    rm(a);
    out <- cbind.data.frame(loc1$V1_1, loc1$V1_2);
    write.table(out, ""out_file${i}.txt"", sep=""\t"", row.names=F, quote=F)""
EOF
   done
",None
removing control characters given file remove newline character character entire file,dos2unix abc.txt,None
cat shows file contents gedit vim show blank file,"0000000  \r  \n  \r  \n  \r  \n  \r  \n  \r  \n  \r  \n  \r  \n  \r  \n
",None
cat shows nothing,cat -v,"root@server:~# od -c -tx1 /etc/passwd | head
0000000   r   o   o   t   :   x   :   0   :   0   :   r   o   o   t   :
         72  6f  6f  74  3a  78  3a  30  3a  30  3a  72  6f  6f  74  3a
0000020   /   r   o   o   t   :   /   b   i   n   /   b   a   s   h  \n
         2f  72  6f  6f  74  3a  2f  62  69  6e  2f  62  61  73  68  0a
0000040   d   a   e   m   o   n   :   x   :   1   :   1   :   d   a   e
         64  61  65  6d  6f  6e  3a  78  3a  31  3a  31  3a  64  61  65
0000060   m   o   n   :   /   u   s   r   /   s   b   i   n   :   /   u
         6d  6f  6e  3a  2f  75  73  72  2f  73  62  69  6e  3a  2f  75
0000100   s   r   /   s   b   i   n   /   n   o   l   o   g   i   n  \n
         73  72  2f  73  62  69  6e  2f  6e  6f  6c  6f  67  69  6e  0a
"
extract lines knowing start end lines,"sed -n '10001,500000p;500001q'
",None
read content ssh key file using path read file,eval cat $(cat path_to_key.txt),None
pass variable cat,"cat <<EOF > /etc/nginx/sites-available/default
server {
    listen 80 default_server; 
    listen [::]:80 default_server; 

    listen 443 ssl default_server; 
    listen [::]:443 ssl default_server; 

    root /vagrant/webroot; 

    index index.php; 

    server_name _; 

    ssl_certificate /etc/nginx/certs/vagrantbox.crt; 
    ssl_certificate_key /etc/nginx/certs/vagrantbox.key;  

    location / { 
        try_files \$uri \$uri/ /index.php?\$args; 
    } 

    location ~ \.php\$ { 
        try_files \$uri =404; 
        include fastcgi_params; 
        fastcgi_pass unix:/run/php/php${PHP_V}-fpm.sock; 
        fastcgi_index index.php; 
        fastcgi_intercept_errors on; 
        fastcgi_param SCRIPT_FILENAME 
        \$document_root\$fastcgi_script_name; 
    }
}
EOF
",None
display contents file searched grep find command,"find  path -type f -iname ""filename"" -exec cat {} \;
",None
copy files specific header,"for file in *; do
  if [ -f ""$file"" ] && [ ""$(head -c 8 ""$file"")"" = ""UnityFS5"" ]; then
    cp ""$file"" /path/to/destination/
  fi
done
",None
really happening command,"<<< Hey > text.txt cat text.txt
",None
count number occurrences strings file getting average string,"awk '
    BEGIN{FS=OFS=""\t""} # if your file is space-delimited, leave this out
    {c[$1]++;v[$1]+=$2}
    END{
        print ""Name"",""count"",""Average""
        for(f in c){print f,c[f],v[f]/c[f]}
    }
' file
",None
tr z n za work,"$ echo abc | tr ab xy
xyc
","'[a-z]' means ""all lower case characters from 'a' to 'z', inclusive"". The second argument is a bit more complicated,"
cat specific tone dev audio,"awk --characters-as-bytes 'BEGIN { freq=2200; amp=0.3; for (i=0; i>=0; i++) { printf ""%c"", 127+ amp*(127.0*sin(2*3.14159265/44100*i*freq)); } }' | padsp tee /dev/audio > /dev/null
",None
display lines internet web address given file linux using regular expression,"grep -Eo '(http|https|www)(.|://)[a-zA-Z0-9./?=_-]*' fileName
",None
tool play back pipe including timing,"Usage:

... | teetime [-a] file | ...
teetime -i file

-a  append to file
-i  read from file
",None
display netgroups presentable way tr work,"ypcat netgroups | sed 's/^$/\n\n\n\n/g'
",None
missing executable centos,"rpm -e --justdb --nodeps which
sudo yum install which
",None
path environment variable seem recognized,"export PATH=~/bin:""$PATH""",None
delete whitespaces columns,"cat thefile | tr '\t' ' '| tr -s "" "" | cut -d' ' -f25-46 
",None
removing unseen junk characters file unix,tr -cd '\t\n -~' ...,None
first line english letter lowercase uppercase," s/^\([a-z]\)/\U\1/
",None
adding script command,sudo ln -s /full/path/here/grabber /usr/bin/grabber,None
command v foo returns wrong result overwriting foo function,"command git ...
",None
command like wc tee behaviour,"psql ... | tee >(wc -l) | bzip2
",None
make wc interpret standard file list,"find .  -maxdepth 1 -type f -print0 | xargs -0 wc
",None
duplicate stream process parts streaming way,"zcat my_data_file.gz |

# Count number of lines in stream
tee >(wc -l > /tmp/linecount) |

# Further processing
process_data.py
","mkfifo /tmp/f

wc -l /tmp/f > /tmp/linecount &

zcat my_data_file.gz \
| tee /tmp/f \
| process_data.py &

wait

rm /tmp/f
"
count number characters per listed filename,"for file in *; do echo -n ""$file"" | wc -m; done
","for f in *; do echo ${#f}; done
"
grep count individual patterns,"sort macadd | uniq -c
",None
redirect bash script output inside script two files one append one rewrite discard output console,"exec &> >(tee -a backup.log > overwritten.log)
",None
get number spaces characters string,"head -n 1 | tr -cd ' \t' | wc -c
",None
find files long first line,"find . -type f -name '*.php' -size +1000c -exec awk '
    FNR > 1 {nextfile}
    length >= 1000 {print FILENAME}' {} +
",None
count number directories,"find . -type d -name lib\* -exec echo x \; | wc -l
",None
find many paragraphs file,"$ awk -vRS= 'END{print NR}' yourfile
2
",None
output ssh commands sent server,"CMD='execute fmscript showlog FG300D-1'
echo $CMD > output.txt
sshpass -p 12345678 ssh admin@10.1.1.1 ""$CMD"" >> output.txt
",None
send find output stdout piped grep," mkfifo p
 cat p &   # this blocks until something is written to p
 find -iname 'TestNum*.rar' -execdir rar e '{}' \; | tee p | grep -c 'All OK'
",None
analyzing ps wc output,"ps | wc -l
",man wc
wc l count lines txt files folders subfolders,"find /the/path/to/search/ -name ""*.txt"" -exec wc -l {} \;
",None
cat redirect file variable expansions,"#!/bin/sh
test -n ""$1"" || exit 1
sed 's/\${domain}/'""$1""'/g' input.txt > output_""$1"".txt
",None
remove duplicate lines large multi gb textfile,"sort -us -o wordlist_unique.lst wordlist.lst
",None
sort use natural order,"   -n, --numeric-sort
          compare according to string numerical value
",None
get list months using dseq dateutils,"dseq 'jan' 1mo 'dec' -i '%b' -f '%b'
","dseq 'jan' 'dec' -i '%b' -f '%b' | sort -Mu
"
get last line number unique commands grepping history file,"history | awk '{$1=""""; sub(""^ "", """", $0)}1' | sort -u
","awk '!x[$0]++' .bash_history | nl
"
combination uniq agrep,sed 's/=[[:digit:]]+//g',None
print log lines excluding previously repetitive lines,"LC_ALL=C uniq file
","$ cat /var/log/file | sort | uniq
"
uniq unique enough also uniq unique,"$ printf ""%s\n"" 1 1 2 3 | uniq
1
2
3
$ printf ""%s\n"" 1 1 2 3 | uniq -u
2
3
",uniq -u
uniq showing duplicate lines,grep home american.txt | sort|  uniq -u,None
unix count unique ip addresses sort frequent also sort ip number repetitions,"$ sort -n -t. -k1,1 -k2,2 -k3,3 -k4,4 | uniq -c | sort -n -r -s
  5 72.204.55.250
  2 96.41.51.202
  2 141.8.143.179
  2 178.137.94.166
  2 208.115.113.91
","[vagrant@localhost ~]$ cat ips.txt 
72.204.55.250
72.204.55.250
72.204.55.250
72.204.55.250
72.204.55.250
96.41.51.202
208.115.113.91
178.137.94.166
178.137.94.166
208.115.113.91
96.41.51.202
141.8.143.179
141.8.143.179
[vagrant@localhost ~]$ psql
Expanded display is used automatically.
psql (9.3.15)
Type ""help"" for help.

vagrant=# create temp table ips (ipaddress inet);
CREATE TABLE
vagrant=# \copy ips from ips.txt
vagrant=# select count(*), ipaddress
vagrant-# from ips
vagrant-# group by ipaddress
vagrant-# order by count desc, ipaddress
vagrant-# ;
 count |   ipaddress    
-------+----------------
     5 | 72.204.55.250
     2 | 96.41.51.202
     2 | 141.8.143.179
     2 | 178.137.94.166
     2 | 208.115.113.91
(5 rows)

vagrant=# \q
[vagrant@localhost ~]$ 
"
sort uniq live feed,"#!/usr/bin/perl
my %LINES ;

while (<STDIN>) {

    if (! $LINES{$_}) {
        $LINES{$_} = 1 ;
        print $_ ;
    }
}
",None
continuously monitor number occurences going pipe,"tshark -lq -T fields -e ip.geoip.src_country -e ip.geoip.dst_country |
  gawk -F '\t' -v clear=""$(tput clear)"" '
  BEGIN{PROCINFO[""sorted_in""] = ""@ind_str_asc""}
  {
    count[$1 ? $1 : ""Unknown""]++
    count[$2 ? $2 : ""Unknown""]++
    printf ""%s"", clear
    for (c in count)
      printf ""%5d %s\n"", count[c], c
  }'
",None
tar command generates error shell script,"TAR_DUMP=""./gypo_$NOW.tar.gz""
echo ""Tar name: $TAR_DUMP""
tar -cvzf $TAR_DUMP gypo
",None
tar exclude exclude,"$ for i in 0 1 2; do mkdir -p /tmp/data/sub$i; echo foo > /tmp/data/sub$i/foo; done
$ find /tmp/data
/tmp/data
/tmp/data/sub2
/tmp/data/sub2/foo
/tmp/data/sub0
/tmp/data/sub0/foo
/tmp/data/sub1
/tmp/data/sub1/foo
$ tar -zvcf /tmp/_data.tar /tmp/data --exclude='/tmp/data/sub[1-2]'
tar: Removing leading `/' from member names
/tmp/data/
/tmp/data/sub0/
/tmp/data/sub0/foo
$ tar -zvcf /tmp/_data.tar /tmp/data --exclude=/tmp/data/sub[1-2]
tar: Removing leading `/' from member names
/tmp/data/
/tmp/data/sub0/
/tmp/data/sub0/foo
$ echo tar -zvcf /tmp/_data.tar /tmp/data --exclude=/tmp/data/sub[1-2]
tar -zvcf /tmp/_data.tar /tmp/data --exclude=/tmp/data/sub[1-2]
$ tar -zvcf /tmp/_data.tar /tmp/data --exclude /tmp/data/sub[1-2]
tar: Removing leading `/' from member names
/tmp/data/
/tmp/data/sub2/
/tmp/data/sub2/foo
/tmp/data/sub0/
/tmp/data/sub0/foo
/tmp/data/sub2/
tar: Removing leading `/' from hard link targets
/tmp/data/sub2/foo
$ echo tar -zvcf /tmp/_data.tar /tmp/data --exclude /tmp/data/sub[1-2]
tar -zvcf /tmp/_data.tar /tmp/data --exclude /tmp/data/sub1 /tmp/data/sub2
",None
preventing tar using much cpu disk old laptop crashes,"tar cf - mydata | pv -L 1m >/media/MYDISK/backup.tar
","ionice -c 3 <your_command>
"
remove adjacent duplicate lines keeping order,"$ uniq inputfile
Golgb1
Akna
Spata20
Golgb1
Akna
","awk '$1 != name{ print }{ name = $1 }' file.txt
"
keeping unique rows based information three columns,"awk '!seen[$1,$2]++' file
","sort -u -k1,2 file
"
bash unique line id,"$ nl input | uniq --skip-fields=1 | cut -f1
     1
     4
     6
     8
    10
    11
",None
get maximum value columns common column,"#!/usr/bin/awk -f
!keys[$4] { keys[$4] = 1; for (i = 1; i < 4; i++) max[$4][i] = $i }
{ for (i = 1; i < 4; i++) {
    if (max[$4][i] < $i) max[$4][i] = $i
} }
END { for (key in max) print max[key][1], max[key][2], max[key][3], key }
",None
difference cat file txt sort u cat file txt uniq,"~ printf %s\\n 1 2 1 | uniq
1
2
1
~ printf %s\\n 1 2 1 | sort | uniq
1
2
~ printf %s\\n 1 2 1 | sort -u
1
2
",sort -u
print lines first appearance unique value column file,"$ awk '!seen[$1]++' file
ENSDARG00000032737    ENSDARP00000120731
ENSDARG00000061051    ENSDARP00000081062
","m1[$1] == 0 {
   m1[$1] = 1
   print
}
"
remove blocks duplicated lines uniq,"$ awk '!a[$0]++' file
calling config()
running main loop
  time=0
output from Rank 0
",None
removing spaces tabs newlines etc variable,tr -d '\040\011\012\015',None
tr read dev urandom osx,"LC_CTYPE=C tr -dc A-Za-z0-9_\!\@\#\$\%\^\&\*\(\)-+= < /dev/urandom | head -c 32 | xargs
","LC_ALL=C tr -dc 'A-Za-z0-9_!@#$%^&*()\-+=' < /dev/urandom
LC_CTYPE=C tr -dc A-Za-z0-9_\!\@\#\$\%\^\&\*\(\)\\-+= < /dev/urandom
"
delete first occurrence character using tr,"echo ""B123_BACK""|sed 's/B//'
",None
characters tar like," -X, --exclude-from FILE
       exclude patterns listed in FILE
",None
hook tar bash,"tar xf tarfile.tar --to-command='sh -c ""mkdir -p $(dirname $TAR_FILENAME) && base64 -d > $TAR_FILENAME""'
",None
extract number line unix,"grep -o 'ICount = ""[0-9]\{1,\}' | sed 's/.*""//'
",None
use tr command replace full stops exclamations question marks followed space newlines,"sed -e ""s/\. /\n/g"" file.txt > out.txt
","$ echo 'I am happy. I am here. How are you, Meg?' | sed 's/\([!.?]\) /\1\n/g'
I am happy.      
I am here.       
How are you, Meg?
"
replace content newlines using sed,"CONTRIBUTORS=`./contributors -u jcubic -r jquery.terminal -m $@  | tr '\n' '☺'`

if echo ""$CONTRIBUTORS"" | grep ERROR > /dev/null; then
    echo ""$CONTRIBUTORS"" | tr '☺' '\n'
else
    cat README.in | sed -n ""/CONTRIBUTORS-START/{p;:a;N;/CONTRIBUTORS-END/!ba;s%.*\n%${CONTRIBUTORS}%};p"" | tr '☺' '\n' > README.tmp
    cp README.tmp README.in
    rm README.tmp
fi
",None
